Nils Asther
Mary Astor
Joséphine Baker
Vilma Bánky
Theda Bara
Sarah Bernhardt
Olive Borden
Clara Bow
Louise Brooks
Lord Byron
Lina Cavalieri
Joan Crawford
Isadora Duncan
Douglas Fairbanks
Greta Garbo
Lillian Gish
Mata Hari
Anna Held
Adah Isaacs Menken
Lillie Langtry
Franz Liszt
Herman Melville
Cléo de Mérode
Lola Montez
Pola Negri
Evelyn Nesbit
Ramón Novarro
Caroline Otero
Mary Pickford
Mary Robinson
Lillian Russell
Gloria Swanson
Norma Talmadge
Eva Tanguay
Olive Thomas
Rudolph Valentino
Simonetta Vespucci
Pancho Villa
Joan Blondell
Claudette Colbert
Gary Cooper
Bette Davis
Frances Day
Olivia de Havilland
Dolores del Río
Kanan Devi
Marlene Dietrich
Irene Dunne
Errol Flynn
Clark Gable
Janet Gaynor
Jean Harlow
Carole Lombard
Myrna Loy
Béla Lugosi
Joel McCrea
Nina Mae McKinney
Anna Neagle
Laurence Olivier
William Powell
Tyrone Power
Sally Rand
Ginger Rogers
Robert Taylor
Thelma Todd
Mae West
Josh White
Anna May Wong
Fay Wray
Lauren Bacall
Ingrid Bergman
Humphrey Bogart
Linda Darnell
Kirk Douglas
Billy Eckstine
Alice Faye
María Félix
Ava Gardner
Judy Garland
Paulette Goddard
Betty Grable
Cary Grant
Susan Hayward
Rita Hayworth
Lena Horne
Glynis Johns
Gene Kelly
Veronica Lake
Hedy Lamarr
Dorothy Lamour
Burt Lancaster
Carole Landis
Gypsy Rose Lee
Vivien Leigh
Margaret Lockwood
Guy Madison
Jean Marais
James Mason
Victor Mature
Marilyn Maxwell
Virginia Mayo
John Payne
Gregory Peck
Ezio Pinza
Jane Russell
Rosalind Russell
Ann Sheridan
Frank Sinatra
Barbara Stanwyck
James Stewart
Gene Tierney
Lana Turner
Alida Valli
John Wayne
Esther Williams
Chelo Alonso
Harriet Andersson
Lucille Ball
Harry Belafonte
Dirk Bogarde
Marlon Brando
Jim Brown
Yul Brynner
Richard Burton
Rory Calhoun
Martine Carol
Leslie Caron
Jeff Chandler
Montgomery Clift
Joan Collins
Tony Curtis
Dorothy Dandridge
Doris Day
Yvonne De Carlo
James Dean
Troy Donahue
